imdbID,title,url,imdbRating,rottenTomatoRating,metacriticRating,imdbVotes,duration,year,oscarNominations,noOfAwards,noOfNominations,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,directors,writers,actors,production,country,language,Type,Plot,BoxOffice,Rated,Genre
tt11182816,Hate the Sin- Love the Sinner,http://www.imdb.com/title/tt11182816/,8.3,nan,nan,15,3000,2019–,nan,nan,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,nan,nan,Kaiser Chuang- Yen Tsao- Janel Tsai- Kimi Hsia,nan,Taiwan,Mandarin,series,Seeking to start anew- an ex-con released on parole finds himself trapped in the shadow of his past and paying the price for a noble sacrifice.,nan,nan,Drama- Mystery
tt11958922,The Innocence Files,http://www.imdb.com/title/tt11958922/,8.0,nan,nan,1146,34380,2020,nan,nan,nan,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Peter Neufeld- Barry Scheck- Michael West- Gary Wells,nan,USA,English,series,The hour-long episodes detail the personal stories behind eight cases of wrongful conviction that the Innocence Project and organizations within the Innocence Network have worked to highlight and overturn.,nan,TV-MA,Documentary- Crime- Drama
tt1234500,Dorm Life,http://www.imdb.com/title/tt1234500/,8.3,nan,nan,466,nan,2008–,nan,nan,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Jim Brandon- Jack De Sena- Pancho Morris- Jordan Riggs,nan,USA,English,series,nan,nan,nan,Comedy
tt0081891,The Last Song,http://www.imdb.com/title/tt0081891/,5.0,nan,nan,6,1800,1981–1983,nan,nan,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Geoffrey Palmer- Caroline Blakiston- Hetty Baynes- Gay Wilde,nan,UK,English,series,nan,nan,nan,Comedy
tt1100959,The Passion,http://www.imdb.com/title/tt1100959/,6.9,nan,nan,313,10800,2008–,nan,nan,nan,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Ben Daniels- John Lynch- Joseph Mawle- James Nesbitt,nan,UK,English,series,Follows Christ's last days and crucifixion.,nan,nan,Drama- History
tt2183112,All in the Best Possible Taste with Grayson Perry,http://www.imdb.com/title/tt2183112/,8.2,nan,nan,42,nan,2012–,nan,nan,nan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Grayson Perry,nan,UK,English,series,Artist Grayson Perry explores British tastes- using his discoveries as inspiration for a work of art,nan,nan,Documentary
tt0096544,Tuesday Night Live: The Big Gig,http://www.imdb.com/title/tt0096544/,7.2,nan,nan,31,3600,1990–1991,nan,nan,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Glynn Nicholas- Ron Hitler Barassi- Eugene de la Hot-Croix Bun- Jock Cheese,nan,Australia,English,series,The series brought a number of new comedy acts to national prominence and made major stars of its host- Wendy Harmer- who later became a top-rating host on morning radio in Sydney- and the ...,nan,nan,Comedy
tt11541202,Vengeance: Killer Coworkers,http://www.imdb.com/title/tt11541202/,nan,nan,nan,nan,nan,2020–,nan,nan,nan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,K.J. Sylk,nan,USA,English,series,nan,nan,nan,Crime
tt8178650,The Victim,http://www.imdb.com/title/tt8178650/,7.7,nan,nan,3331,3420,2019,nan,nan,nan,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,nan,Rob Williams,Kelly Macdonald- James Harkness- Isis Hainsworth- Jamie Sives,nan,UK,English,series,A mother seeks the whereabouts of her son's killer after he is released from prison- unleashing a series of events that surface tragic memories and unexpected consequences.,nan,Not Rated,Crime- Drama- Mystery
tt11654094,Alone: The Beast,http://www.imdb.com/title/tt11654094/,6.0,nan,nan,81,nan,2020–,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Rick Robles,nan,USA,English,series,From the creators of HISTORY's show Alone comes a series where 3 strangers attempt to endure 30 days in a remote location with no tools or modern amenities- just the clothes on their backs ...,nan,nan,Game-Show
tt11710866,No Body is Perfect - Das Nacktexperiment,http://www.imdb.com/title/tt11710866/,nan,nan,nan,nan,nan,2020,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,nan,Silvana Denker,nan,Germany,German,series,nan,nan,nan,Game-Show- Reality-TV
tt1026163,Score final,http://www.imdb.com/title/tt1026163/,nan,nan,nan,nan,3600,1994–,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,nan,nan,Jorge Murrieta- Rodolfo Vargas,nan,Mexico,Spanish,series,nan,nan,nan,Sport
tt3127028,The Ploy,http://www.imdb.com/title/tt3127028/,nan,nan,nan,nan,2700,2013–,nan,nan,nan,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,Ryan Groves,Ryan Groves- Matthew Jaeger- Erin Breen- Rose Day Stuart,nan,USA,English,series,The lives and exploits of superheroes and the government are in conflict and not always for the common good.,nan,nan,Action- Crime- Drama
tt7939782,Love at First Flight,http://www.imdb.com/title/tt7939782/,7.7,nan,nan,31,nan,2018–,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,Craig Piligian,Jenna Fortner- Stephanie Helouise Johnson- Alma Lopez- Michael Naccari,nan,USA,English,series,New couples travel across North America- with the chance to get married at the airport immediately after their final flight lands.,nan,nan,Reality-TV
tt3199398,Hormones,http://www.imdb.com/title/tt3199398/,8.0,nan,nan,486,3600,2013–2015,nan,nan,nan,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Ungsumalynn Sirapatsakmetha- Sananthachat Thanapatpisal- Sirachuch Chienthaworn- Gunn Junhavat,nan,Thailand,Thai,series,Follow the lives of nine Thai secondary school students and their friends as they try to find their way through the ups and downs of adolescence.,nan,nan,Comedy- Drama- Romance
tt7712804,Nak & Æd,http://www.imdb.com/title/tt7712804/,9.0,nan,nan,51,nan,2010–,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,nan,nan,Nikolaj Kirk- Jørgen Skouboe,nan,Denmark,Danish,series,A hunter and a cook camps in the wild to hunt and prepare wild animals.,nan,nan,Talk-Show
tt0055673,Fireball XL5,http://www.imdb.com/title/tt0055673/,7.4,nan,nan,423,1800,1962–1963,nan,nan,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,nan,Gerry Anderson- Sylvia Anderson,Paul Maxwell- Sylvia Anderson- David Graham- John Bluthal,nan,UK,English,series,Fireball XL5 was part of the fleet of interplanetary rockets protecting Sector 25 of the Solar System from alien invasion under the supervision of the World Space Patrol. In command of XL5 was Steve Zodiac- and his crew consisted of Venus- a doctor- Professor Matic- the science officer- and Robert the Robot- the rocket's mechanical co-pilot.,nan,TV-PG,Family- Sci-Fi
