imdbID,title,url,imdbRating,imdbVotes,duration,year,specialNominations,noOfAwards,noOfNominations,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,directors,writers,actors,country,language,Type,Plot,Rated,Genre,totalSeasons
tt6131454,12 Deadly Days,http://www.imdb.com/title/tt6131454/,6.8,149,nan,2016–,None,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Jon Fletcher- J. Claude Deering- Burnie Burns- Jayson Blair,USA,English,series,The citizens of a California town are terrorized by various supernatural forces in the days leading up to Christmas.,TV-14,Comedy- Horror,1
tt0465774,12 oz. Mouse,http://www.imdb.com/title/tt0465774/,6.6,1908,900,2005–2020,None,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,nan,Matt Maiellaro,Matt Maiellaro- Adam Reed- Nick Weidenfeld- Kurt Soccolich,USA,English,series,In this crudely animated series- a mouse performs odd jobs so he can buy more beer.,TV-14,Animation- Action- Adventure- Comedy- Fantasy- Mystery- Thriller,2
tt0088628,The 13 Ghosts of Scooby-Doo,http://www.imdb.com/title/tt0088628/,7.4,2077,1800,1985–1986,None,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Casey Kasem- Heather North- Vincent Price- Susan Blu,USA,English,series,Scooby and Shaggy are tricked by ghosts Bogle and Wierd into opening a chest of demons. With the aide of Daphne- Scrappy- an orphan named Flim Flam and warlock Vincent Van Ghoul- they have to return the 13 demons to the chest.,TV-G,Animation- Adventure- Comedy- Family- Fantasy- Horror,1
tt1837492,13 Reasons Why,http://www.imdb.com/title/tt1837492/,7.7,247941,3600,2017–2020,None1:Golden Globe;,3,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,nan,Brian Yorkey,Dylan Minnette- Christian Navarro- Alisha Boe- Brandon Flynn,USA,English,series,Thirteen Reasons Why- based on the best-selling books by Jay Asher- follows teenager Clay Jensen (Dylan Minnette) as he returns home from school to find a mysterious box with his name on it lying on his porch. Inside he discovers a group of cassette tapes recorded by Hannah Baker (Katherine Langford) -his classmate and crush-who tragically committed suicide two weeks earlier. On tape- Hannah unfolds an emotional audio diary- detailing the thirteen reasons why she decided to end her life. Through Hannah and Clay's dual narratives- Thirteen Reasons Why weaves an intricate and heartrending story of confusion and desperation that will deeply affect viewers.,TV-MA,Drama- Mystery,4
tt0377134,15/Love,http://www.imdb.com/title/tt0377134/,6.4,516,nan,2004–2006,None,2,5,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,nan,Derek Schreyer- Karen Troubetzkoy,Laurence Leboeuf- Kyle Switzer- Meaghan Rath- Max Walker,Canada- France,English,series,"15/Love" is a comedy-drama about coming-of-age in a unique- high-pressure environment. The series follows a group of young hopefuls at the internationally renowned Cascadia Tennis Academy- where they live- love- laugh- fight- cry and dream their way through adolescence.,nan,Comedy- Drama- Family- Sport,3
tt1454730,16 and Pregnant,http://www.imdb.com/title/tt1454730/,3.1,2547,3600,2009–,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,nan,Drew Pinsky,USA,English,series,A documentary series focusing on the controversial subject of teen pregnancy. Each episode follows a 5-7 month period in the life of a teenager as she navigates the bumpy terrain of adolescence- growing pains- rebellion- and coming of age; all while dealing with being pregnant. Each story offers a unique look into the wide variety of challenges pregnant teens face: marriage- adoption- religion- gossip- finances- rumors among the community- graduating high school- getting (or losing) a job. Faced with incredibly adult decisions- these girls are forced to sacrifice their teenage years and their high school experiences. But there is an optimism among them; they have the dedication to make their lives work- and to do as they see fit to provide the best for their babies.,nan,Reality-TV,5
tt1411254,18 to Life,http://www.imdb.com/title/tt1411254/,6.0,848,1380,2010–2011,None,2,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,Derek Schreyer- Karen Troubetzkoy,Stacey Farber- Alain Goulem- Angela Asher- Jesse Rath,Canada,English,series,Two couples with opposing points of view reluctantly become family after their teenage kids run off and get married.,nan,Comedy,2
tt1307083,19 Kids and Counting,http://www.imdb.com/title/tt1307083/,3.2,2354,1800,2008–2015,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,nan,Michelle Duggar- Jackson Duggar- Jennifer Duggar- Jim Bob Duggar,USA,English,series,The lives of the Duggars- a Christian homeschooling family with 19 children- and how their family functions.,nan,Documentary- Reality-TV,15
tt0076971,The $1.98 Beauty Show,http://www.imdb.com/title/tt0076971/,6.7,56,1800,1978–1980,None,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Anne Lockhart- Lou Mulford,USA,English,series,A parody of traditional beauty contests hosted by oddball comedian Rip Taylor. Mock pageant contestants would be put through a series of bizarre and embarrassing routines until one emerged as the winner. After a brief fanfare the winner was presented with her prize- worth $1.98.,nan,Comedy- Family- Game-Show,nan
tt1494843,1st Look,http://www.imdb.com/title/tt1494843/,6.7,45,1800,2008–,None,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,nan,Joseph Varet,Audrina Patridge- Angela Sun- Gardner Loulan,USA,English,series,A variety show that traveled all over the United States- to discover different regional foods and dances. Multiple celebrity hosts covered a wide variety of of the varying elements of American culture and traditions.,nan,News,10
tt0843318,1 vs. 100,http://www.imdb.com/title/tt0843318/,6.2,830,nan,2006–,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Bob Saget,USA,English,series,Host Bob Saget poses questions to both a lone player and a mob of 100 opponents. Each correct answer from the player knocks out any mob members who got it wrong and increases the prize money. If he can eliminate the entire field of 100- he wins $1 million; otherwise- he can quit after any right answer or risk losing everything to the mob if he misses a question.,nan,Game-Show,1
tt0124932,20/20,http://www.imdb.com/title/tt0124932/,6.6,1628,3600,1978–,None,42,81,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,nan,Roone Arledge,David Muir- Elizabeth Vargas- Amy Robach,USA,English,series,Among the most recognized and revered television newsmagazines- "20/20" was ABC's answer to CBS's "60 Minutes." Though some stories were humorous- light-hearted and sometimes frivolous features- the meat of "20/20's" programming was investigative reporting many times exposing corporate- medical- educational and governmental wrongdoing- incompetence and criminal negligence and reports on news events of the week from (often) different angles than was seen on the nightly news. Oftentimes- co-host Walters interviewed a prominent celebrity- politician or other newsmaker (among her most famous interviews included her fearless interview of feared Libyan dictator Muhammar Qaddafi; and her inspirational story of Gen. Norman Schwarzkopf- who was interviewed shortly after the Persian Gulf War had ended). The show's regular cast of contributors filed the reports- with the most prolific including John Stossel (who once had his nose broken while interviewing a World Wrestling Federation wrestler)- Lynn Sherr- Stone Phillips (before he joined "Dateline NBC") and Catherine Crier. Though most of the reports proved to be factual- some were heralded as sensationalist; others led to allegations of libel while at least one story later proved to be an embarrassing hoax.,Unrated,Documentary- News,43
tt0124932,20/20,http://www.imdb.com/title/tt0124932/,6.6,1628,3600,1978–,None,42,81,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,nan,Roone Arledge,David Muir- Elizabeth Vargas- Amy Robach,USA,English,series,Among the most recognized and revered television newsmagazines- "20/20" was ABC's answer to CBS's "60 Minutes." Though some stories were humorous- light-hearted and sometimes frivolous features- the meat of "20/20's" programming was investigative reporting many times exposing corporate- medical- educational and governmental wrongdoing- incompetence and criminal negligence and reports on news events of the week from (often) different angles than was seen on the nightly news. Oftentimes- co-host Walters interviewed a prominent celebrity- politician or other newsmaker (among her most famous interviews included her fearless interview of feared Libyan dictator Muhammar Qaddafi; and her inspirational story of Gen. Norman Schwarzkopf- who was interviewed shortly after the Persian Gulf War had ended). The show's regular cast of contributors filed the reports- with the most prolific including John Stossel (who once had his nose broken while interviewing a World Wrestling Federation wrestler)- Lynn Sherr- Stone Phillips (before he joined "Dateline NBC") and Catherine Crier. Though most of the reports proved to be factual- some were heralded as sensationalist; others led to allegations of libel while at least one story later proved to be an embarrassing hoax.,Unrated,Documentary- News,43
tt0124932,20/20,http://www.imdb.com/title/tt0124932/,6.6,1628,3600,1978–,None,42,81,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,nan,Roone Arledge,David Muir- Elizabeth Vargas- Amy Robach,USA,English,series,Among the most recognized and revered television newsmagazines- "20/20" was ABC's answer to CBS's "60 Minutes." Though some stories were humorous- light-hearted and sometimes frivolous features- the meat of "20/20's" programming was investigative reporting many times exposing corporate- medical- educational and governmental wrongdoing- incompetence and criminal negligence and reports on news events of the week from (often) different angles than was seen on the nightly news. Oftentimes- co-host Walters interviewed a prominent celebrity- politician or other newsmaker (among her most famous interviews included her fearless interview of feared Libyan dictator Muhammar Qaddafi; and her inspirational story of Gen. Norman Schwarzkopf- who was interviewed shortly after the Persian Gulf War had ended). The show's regular cast of contributors filed the reports- with the most prolific including John Stossel (who once had his nose broken while interviewing a World Wrestling Federation wrestler)- Lynn Sherr- Stone Phillips (before he joined "Dateline NBC") and Catherine Crier. Though most of the reports proved to be factual- some were heralded as sensationalist; others led to allegations of libel while at least one story later proved to be an embarrassing hoax.,Unrated,Documentary- News,43
