imdbID,title,url,imdbRating,rottenTomatoRating,metacriticRating,imdbVotes,duration,year,oscarNominations,noOfAwards,noOfNominations,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,directors,writers,actors,production,country,language,Type,Plot,BoxOffice,Rated,Genre
tt10394790,The Bravest Knight,http://www.imdb.com/title/tt10394790/,5.8,nan,nan,70,nan,2019–,nan,nan,nan,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Storm Reid- T.R. Knight- Chance Hurstfield- Bobby Moynihan,nan,nan,nan,series,This story revolves around a young pumpkin farmer's adventure as he attempts to become the bravest knight who ever lived.,nan,nan,Animation- Family
tt11383906,The 7th Rule: Captain Nog Forever,http://www.imdb.com/title/tt11383906/,8.7,nan,nan,31,nan,2019–,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,nan,nan,Ryan T. Husk- Cirroc Lofton,nan,USA,English,series,nan,nan,nan,Sci-Fi
tt11442076,Better Days,http://www.imdb.com/title/tt11442076/,nan,nan,nan,nan,nan,2019–,nan,nan,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Nabeel Muscatwalla,nan,USA,English,series,A Muslim-American twenty-something navigates a string of awkward encounters as he tries to get on with his day.,nan,nan,Comedy
tt10366148,Skyfire,http://www.imdb.com/title/tt10366148/,4.8,nan,nan,75,nan,2019–,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,nan,nan,Sonal Chauhan- Jatin Goswami- Amit Kumar- Prateik,nan,India,Hindi,series,When a boy from the slum disappears- his search leads a historian and a journalist to strange and seemingly unrelated incidents- including warnings of natural calamities.,nan,nan,Sci-Fi
tt1541148,The Message Board,http://www.imdb.com/title/tt1541148/,nan,nan,nan,nan,nan,2009,nan,nan,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Mark Eugene Garcia- Jason Barker- Caroline Clay- Margaret Curry,nan,nan,nan,series,nan,nan,nan,Comedy
tt0118289,Cow and Chicken,http://www.imdb.com/title/tt0118289/,6.5,nan,nan,17984,1800,1995–1999,nan,3,9,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,David Feiss,Charlie Adler- Candi Milo- Dee Bradley Baker- Michael Dorn,nan,USA,English,series,The program focuses on the misadventures of two unlikely yet somehow biological siblings: Cow and Chicken.,nan,TV-PG,Animation- Adventure- Comedy- Family- Fantasy
tt3079362,For the Love of Dance,http://www.imdb.com/title/tt3079362/,nan,nan,nan,nan,nan,2013–,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,nan,Shane Sparks,nan,USA,English,series,Shane Sparks world renown dancer and choreographer takes dancers and those who love to dance on a journey of how to survive- succeed and make the dance dream happen- while still embracing reality.,nan,nan,Reality-TV
tt3342858,Gasp!,http://www.imdb.com/title/tt3342858/,nan,nan,nan,nan,nan,2010–2011,nan,nan,nan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,Australia,English,series,nan,nan,nan,Animation
tt1799244,Freedom Watch with Judge Napolitano,http://www.imdb.com/title/tt1799244/,8.8,nan,nan,29,3600,2009–,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,nan,nan,Andrew Napolitano- Ron Paul,nan,USA,English,series,Andrew Napolitano interviews guests and comments on current events from a libertarian point of view.,nan,nan,Talk-Show
tt1685406,Hop- Skip and Jump: The Story of Children's Play,http://www.imdb.com/title/tt1685406/,nan,nan,nan,nan,3540,2009–,nan,nan,nan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Russell Boulter,nan,UK,English,series,A look at the history of children's indoor and outdoor games across different social classes-time periods and locations.,nan,nan,Documentary
