imdbID,title,url,imdbRating,imdbVotes,duration,year,specialNominations,noOfAwards,noOfNominations,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,directors,writers,actors,country,language,Type,Plot,Rated,Genre,totalSeasons
tt8696768,The Smile Has Left Your Eyes,http://www.imdb.com/title/tt8696768/,8.4,56,3600,2018–,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,nan,nan,In-Guk Seo- So-Min Jung- Sung-woong Park- Eun-Su Seo,South Korea,Korean,series,A detective takes on a murder case that was disguised as suicide and becomes obsessed with solving it. But his younger sister falls in love with a man that is somehow connected to the ...,nan,Drama- Mystery- Romance- Thriller,nan
tt2389644,The Snow Queen,http://www.imdb.com/title/tt2389644/,8.2,95,3600,2006–2007,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Hyun Bin- Ju-hwan Lim- In-yeong Yoo,South Korea,Korean,series,At 17- Tae Woong- a mathematical genius- meets two people. One becomes his best friend and the other- his love. Tae Woong's best friend- Kim Jeong Kyu- also classified as a genius- competes...,nan,Drama,nan
tt10202268,Sons of the Caliphate,http://www.imdb.com/title/tt10202268/,6.4,14,nan,2018–,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Ibrahim Rufai,Nigeria,Hausa- English,series,This is a drama series about the lives of three rich- entitled- passionate and ambitious young men: Kalifah- Nuhu and Diko. Elections are fast approaching and there's a tussle for the ...,nan,Drama,nan
tt5478592,The Sons of Sol Pharmacy House,http://www.imdb.com/title/tt5478592/,8.2,9,nan,2009–,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Il-seob Baek,South Korea,Korean,series,nan,nan,Drama- Romance,1
tt4613520,The Sound of Your Heart,http://www.imdb.com/title/tt4613520/,8.3,635,nan,2016–,None,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Kwang-Soo Lee- Dae-Myung Kim- So-Min Jung- Byeong-ok Kim,South Korea,Korean,series,Based on the longest-running webtoon "Maeum-ui Sori" in Korea- "Sound of your heart" is a story about Cho Seok- an aspiring comic writer- and his strange family.,nan,Comedy,1
tt7897044,Should We Kiss First,http://www.imdb.com/title/tt7897044/,7.0,46,nan,2018–,None,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Woo-seong Kam- Seon-a Kim- Ji-Ho Oh- Si-yeon Park,South Korea,Korean,series,The story follows the love lives of four adults who have lost their faith in love.,nan,Drama- Romance,1
tt2942950,Shut Up Flower Boy Band,http://www.imdb.com/title/tt2942950/,8.2,300,nan,2012–,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Jun Sung- Ui-chul Jung- Bo-ah Jo- Myung-soo Kim,South Korea,Korean,series,Shut Up Flower Boy Band is a gritty- moody- friendship-rich- underdog story with heart. The underground rock band Eye Candy comprises high school boys. When the band members transfer to the elite Jungsang high school- their journey to find their place in the music world begins. Along the way- each band member explores what the band means to them- what their friendship means- and eventually what is their life's passion.,nan,Drama- Music- Romance,1
tt0361140,.hack//SIGN,http://www.imdb.com/title/tt0361140/,6.9,1174,1500,2002–,None,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,nan,nan,Megumi Toyoguchi- Kazuhiro Nakata- Amanda Winn Lee- Paul Mercier,Japan,English- Japanese,series,It is the year 2010. After the great network crash of 2005- online entertainment was restricted. Two years after- the CC Corporation released the first Massively Multiplayer Online Role Playing game since the incident. The extremely popular game- called "The World" sells millions of copies. And when that many are playing- things are bound to go wrong. A mysterious boy- who calls himself Tsukasa- appears. He is very mysterious- and he claims that he is actually alive "in the world" - that he isn't a person in front of a computer. He is branded a server malfunction by Ginkan and the Scarlet Knights- and is pursued.,TV-14,Animation- Action- Adventure- Drama- Fantasy- Mystery- Sci-Fi- Thriller,1
tt4135374,Plus Nine Boys,http://www.imdb.com/title/tt4135374/,7.4,43,nan,2014–,None,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Young-kwang Kim- Jeong-se Oh- Sung-Jae Yook- Ro-Woon Choi,South Korea,Korean,series,Follows the lives of a group of males whose ages are 9-years-old- 19-years-old- 29-years-old and 39-years-old.,nan,Comedy- Romance,1
tt8036648,Ice Poseidon show,http://www.imdb.com/title/tt8036648/,8.0,177,14400,2015–,None,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,nan,Sam Pepper- Ice Poseidon- Dankquan,USA,English,series,Follow the story of autistic Paul "Ding Ding" Denino- who leaves his childhood home in Florida and moves to LA to become the next Howard Stern.,nan,Action- Adventure- Comedy- Drama- Reality-TV,nan
